Datetime,Power
2022-08-08 00:00:00,13.2879
2022-08-08 00:15:00,9.2207
2022-08-08 00:30:00,12.3057
2022-08-08 00:45:00,13.0845
2022-08-08 01:00:00,13.0896
2022-08-08 01:15:00,11.6086
2022-08-08 01:30:00,11.5256
2022-08-08 01:45:00,11.1357
2022-08-08 02:00:00,12.9909
2022-08-08 02:15:00,12.4036
2022-08-08 02:30:00,12.3512
2022-08-08 02:45:00,13.2646
2022-08-08 03:00:00,10.1594
2022-08-08 03:15:00,11.0074
2022-08-08 03:30:00,9.2458
2022-08-08 03:45:00,8.748
2022-08-08 04:00:00,10.1724
2022-08-08 04:15:00,10.2118
2022-08-08 04:30:00,7.2891
2022-08-08 04:45:00,7.486
2022-08-08 05:00:00,8.0346
2022-08-08 05:15:00,8.1835
2022-08-08 05:30:00,8.2222
2022-08-08 05:45:00,7.2662
2022-08-08 06:00:00,4.3857
2022-08-08 06:15:00,4.3154
2022-08-08 06:30:00,3.7021
2022-08-08 06:45:00,4.6727
2022-08-08 07:00:00,10.6746
2022-08-08 07:15:00,12.8282
2022-08-08 07:30:00,12.4646
2022-08-08 07:45:00,13.2391
2022-08-08 08:00:00,12.1507
2022-08-08 08:15:00,11.9644
2022-08-08 08:30:00,11.769
2022-08-08 08:45:00,11.769
2022-08-08 09:00:00,10.8205
2022-08-08 09:15:00,7.8604
2022-08-08 09:30:00,7.9095
2022-08-08 09:45:00,6.8661
2022-08-08 10:00:00,8.1017
2022-08-08 10:15:00,8.0319
2022-08-08 10:30:00,5.5051
2022-08-08 10:45:00,6.1869
2022-08-08 11:00:00,6.2074
2022-08-08 11:15:00,6.4462
2022-08-08 11:30:00,7.6254
2022-08-08 11:45:00,7.6254
2022-08-08 12:00:00,7.6254
2022-08-08 12:15:00,8.9716
2022-08-08 12:30:00,8.9716
2022-08-08 12:45:00,8.6131
2022-08-08 13:00:00,7.3558
2022-08-08 13:15:00,7.3295
2022-08-08 13:30:00,7.3295
2022-08-08 13:45:00,5.115
2022-08-08 14:00:00,6.5183
2022-08-08 14:15:00,4.8514
2022-08-08 14:30:00,4.8514
2022-08-08 14:45:00,3.0714
2022-08-08 15:00:00,4.4664
2022-08-08 15:15:00,2.9475
2022-08-08 15:30:00,3.2703
2022-08-08 15:45:00,3.4812
2022-08-08 16:00:00,3.5814
2022-08-08 16:15:00,3.2639
2022-08-08 16:30:00,2.9629
2022-08-08 16:45:00,3.1761
2022-08-08 17:00:00,4.0991
2022-08-08 17:15:00,4.1778
2022-08-08 17:30:00,3.0002
2022-08-08 17:45:00,2.5799
2022-08-08 18:00:00,3.2558
2022-08-08 18:15:00,2.9145
2022-08-08 18:30:00,2.1004
2022-08-08 18:45:00,2.0024
2022-08-08 19:00:00,1.6272
2022-08-08 19:15:00,1.7012
2022-08-08 19:30:00,5.6787
2022-08-08 19:45:00,3.5916
2022-08-08 20:00:00,4.7684
2022-08-08 20:15:00,3.354
2022-08-08 20:30:00,6.6321
2022-08-08 20:45:00,4.2813
2022-08-08 21:00:00,6.479
2022-08-08 21:15:00,7.2918
2022-08-08 21:30:00,11.9262
2022-08-08 21:45:00,7.7866
2022-08-08 22:00:00,11.1116
2022-08-08 22:15:00,13.4964
2022-08-08 22:30:00,18.4472
2022-08-08 22:45:00,18.2551
2022-08-08 23:00:00,22.1229
2022-08-08 23:15:00,16.4697
2022-08-08 23:30:00,19.1407
2022-08-08 23:45:00,14.9878
2022-08-09 00:00:00,18.1293
2022-08-09 00:15:00,14.1132
2022-08-09 00:30:00,14.1132
2022-08-09 00:45:00,13.6088
2022-08-09 01:00:00,7.3328
2022-08-09 01:15:00,7.1503
2022-08-09 01:30:00,7.6614
2022-08-09 01:45:00,7.6775
2022-08-09 02:00:00,13.2247
2022-08-09 02:15:00,9.1056
2022-08-09 02:30:00,12.2594
2022-08-09 02:45:00,7.1249
2022-08-09 03:00:00,5.5573
2022-08-09 03:15:00,7.0145
2022-08-09 03:30:00,5.2563
2022-08-09 03:45:00,4.3923
2022-08-09 04:00:00,5.1488
2022-08-09 04:15:00,4.6238
2022-08-09 04:30:00,4.6238
2022-08-09 04:45:00,5.1873
2022-08-09 05:00:00,6.939
2022-08-09 05:15:00,6.9577
2022-08-09 05:30:00,6.9577
2022-08-09 05:45:00,7.0072
2022-08-09 06:00:00,4.3632
2022-08-09 06:15:00,4.1893
2022-08-09 06:30:00,4.1893
2022-08-09 06:45:00,4.3721
2022-08-09 07:00:00,3.8607
2022-08-09 07:15:00,6.7032
2022-08-09 07:30:00,4.5327
2022-08-09 07:45:00,4.9879
2022-08-09 08:00:00,4.4252
2022-08-09 08:15:00,4.8919
2022-08-09 08:30:00,7.3676
2022-08-09 08:45:00,8.1171
2022-08-09 09:00:00,1.9658
2022-08-09 09:15:00,1.872
2022-08-09 09:30:00,1.8691
2022-08-09 09:45:00,3.35
2022-08-09 10:00:00,7.8076
2022-08-09 10:15:00,3.6449
2022-08-09 10:30:00,8.5226
2022-08-09 10:45:00,7.6406
2022-08-09 11:00:00,8.4974
2022-08-09 11:15:00,7.12
2022-08-09 11:30:00,9.6431
2022-08-09 11:45:00,11.6945
