PlantID PlantName Datetime Irradiance Speed10 Direction10 Temper Pressure Humidity
2356 光伏2356 "2022-08-08 00:00:00" 0.0000 0.6030 174.2894 25.1400 994.6400 95.4000
2356 光伏2356 "2022-08-08 00:15:00" 0.0000 0.3306 176.5318 25.1100 995.2400 95.5400
2356 光伏2356 "2022-08-08 00:30:00" 0.0000 0.1879 115.2011 25.0500 994.9300 95.8300
2356 光伏2356 "2022-08-08 00:45:00" 0.0000 0.2983 103.5704 24.9800 994.4900 96.2200
2356 光伏2356 "2022-08-08 01:00:00" 0.0000 0.2780 127.6942 24.9100 994.5600 96.6100
2356 光伏2356 "2022-08-08 01:15:00" 0.0000 0.3828 146.7251 24.8000 994.5100 97.1200
2356 光伏2356 "2022-08-08 01:30:00" 0.0000 0.5187 146.0035 24.6900 994.3100 97.6700
2356 光伏2356 "2022-08-08 01:45:00" 0.0000 0.5308 137.2906 24.5900 994.1500 98.1100
2356 光伏2356 "2022-08-08 02:00:00" 0.0000 0.1503 176.1859 25.0200 993.8900 0.0000
2356 光伏2356 "2022-08-08 02:15:00" 0.0000 0.1217 189.4623 25.0100 993.9400 0.0000
2356 光伏2356 "2022-08-08 02:30:00" 0.0000 0.1342 153.4349 25.0600 993.8900 0.0000
2356 光伏2356 "2022-08-08 02:45:00" 0.0000 0.1020 191.3099 25.0700 993.3900 0.0000
2356 光伏2356 "2022-08-08 03:00:00" 0.0000 0.1342 206.5651 25.0800 992.9100 89.5600
2356 光伏2356 "2022-08-08 03:15:00" 0.0000 0.2010 174.2894 25.1000 992.8600 89.2800
2356 光伏2356 "2022-08-08 03:30:00" 0.0000 0.1523 156.8014 25.1400 993.2700 89.0100
2356 光伏2356 "2022-08-08 03:45:00" 0.0000 0.2460 153.4349 25.1300 993.2700 88.9300
2356 光伏2356 "2022-08-08 04:00:00" 0.0000 0.3536 151.2602 25.1100 993.4000 88.9200
2356 光伏2356 "2022-08-08 04:15:00" 0.0000 0.4940 158.6294 25.0700 993.4000 88.9800
2356 光伏2356 "2022-08-08 04:30:00" 0.0000 0.6485 153.4349 25.0300 993.3500 89.1000
2356 光伏2356 "2022-08-08 04:45:00" 0.0000 0.6946 149.7436 24.9900 993.4000 89.2200
2356 光伏2356 "2022-08-08 05:00:00" 0.0000 0.5515 135.0000 24.9600 993.3200 0.0000
2356 光伏2356 "2022-08-08 05:15:00" 0.0000 0.4982 141.5198 24.1100 993.4700 0.0000
