PlantID PlantName PlantType Datetime Perssure SeaPerssure PrecipitationHour GroundTemp Temp2 Humidity2 InstantSpeed10 InstantDirection10 PrecipitationDay Groundradiation Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 HubSpeed HubDireciton
1078 风电1078 0 "2022-08-08 02:00:00" 989.1600 1006.3700 0.0000 297.8400 297.8400 0.0000 0.1500 -0.35 0.0000 0.0000 0.1500 -0.35 -0.1000 -0.25 -0.3400 -0.16 -0.5600 -0.08 -0.7600 0.00 -0.8600 0.04 null null
1078 风电1078 0 "2022-08-08 02:15:00" 989.2600 1006.4900 0.0000 297.4400 298.1200 0.0000 -0.0200 -0.15 0.0000 0.0000 -0.0500 -0.14 -0.2500 -0.10 -0.4400 -0.06 -0.6100 -0.02 -0.7800 0.01 -0.8600 0.03 null null
1078 风电1078 0 "2022-08-08 02:30:00" 989.1400 1006.3700 0.0000 297.4100 298.1900 0.0000 0.1800 -0.22 0.0000 0.0000 0.1400 -0.22 -0.0500 -0.19 -0.2300 -0.17 -0.4000 -0.14 -0.5600 -0.12 -0.6300 -0.11 null null
1078 风电1078 0 "2022-08-08 02:45:00" 988.5800 1005.8000 0.0000 297.3500 298.1700 0.0000 0.1800 -0.33 0.0000 0.0000 0.1400 -0.33 -0.0600 -0.31 -0.2500 -0.30 -0.4300 -0.28 -0.6000 -0.27 -0.6800 -0.26 null null
1078 风电1078 0 "2022-08-08 03:00:00" 988.1400 1005.3500 0.0000 297.2600 298.1000 90.3000 0.2100 -0.40 0.0000 0.0000 0.1800 -0.40 -0.0200 -0.39 -0.2200 -0.37 -0.4000 -0.36 -0.5800 -0.35 -0.6600 -0.34 null null
1078 风电1078 0 "2022-08-08 03:15:00" 988.1300 1005.3500 0.0000 297.1700 298.0300 90.6300 0.2400 -0.50 0.0000 0.0000 0.2200 -0.49 0.0200 -0.48 -0.1800 -0.47 -0.3600 -0.45 -0.5300 -0.44 -0.6200 -0.44 null null
1078 风电1078 0 "2022-08-08 03:30:00" 988.5400 1005.7700 0.0000 297.1100 297.9900 90.8600 0.1800 -0.63 0.0000 0.0000 0.1700 -0.60 -0.0500 -0.59 -0.2500 -0.57 -0.4400 -0.56 -0.6200 -0.55 -0.7100 -0.54 null null
1078 风电1078 0 "2022-08-08 03:45:00" 988.5000 1005.7300 0.0000 297.0100 297.9000 91.2500 0.1600 -0.83 0.0000 0.0000 0.1500 -0.80 -0.0700 -0.79 -0.2800 -0.79 -0.4800 -0.78 -0.6600 -0.77 -0.7500 -0.77 null null
1078 风电1078 0 "2022-08-08 04:00:00" 988.6400 1005.8700 0.0000 296.9100 297.8100 91.6800 0.1700 -0.94 0.0000 0.0000 0.1700 -0.91 -0.0600 -0.90 -0.2700 -0.88 -0.4800 -0.87 -0.6700 -0.86 -0.7600 -0.86 null null
1078 风电1078 0 "2022-08-08 04:15:00" 988.6700 1005.9000 0.0000 296.8000 297.7100 92.1300 0.2000 -1.00 0.0000 0.0000 0.2000 -0.97 -0.0300 -0.95 -0.2400 -0.93 -0.4500 -0.92 -0.6400 -0.90 -0.7300 -0.89 null null
1078 风电1078 0 "2022-08-08 04:30:00" 988.6000 1005.8400 0.0000 296.7000 297.6000 92.6100 0.2900 -1.11 0.0000 0.0000 0.3000 -1.08 0.0700 -1.06 -0.1300 -1.04 -0.3300 -1.02 -0.5100 -1.01 -0.6000 -1.00 null null
1078 风电1078 0 "2022-08-08 04:45:00" 988.7700 1006.0100 0.0000 296.6300 297.5200 93.0200 0.3400 -1.12 0.0000 0.0000 0.3600 -1.10 0.1500 -1.07 -0.0400 -1.05 -0.2200 -1.02 -0.3900 -1.00 -0.4800 -0.99 null null
1078 风电1078 0 "2022-08-08 05:00:00" 988.9400 1006.1900 0.0000 296.6000 297.4600 93.2900 0.2900 -1.03 0.0000 0.0000 0.3100 -1.01 0.1200 -0.97 -0.0700 -0.93 -0.2400 -0.89 -0.4000 -0.86 -0.4800 -0.84 null null
