UnitID UnitName PlantID PlantName IntegrationDate UnitModel UnitCap HubHeight
15136 1097 1078 风电1078 "2020-10-28 00:00:00" W2100-135 2.1000 90.0000
15137 1097 1078 风电1078 "2020-10-25 00:00:00" W2100-135 2.1000 90.0000
15138 1097 1078 风电1078 "2020-10-24 00:00:00" W2100-135 2.1000 90.0000
15139 1097 1078 风电1078 "2020-10-22 00:00:00" W2100-135 2.1000 90.0000
15140 1097 1078 风电1078 "2020-09-22 00:00:00" W2100-135 2.1000 90.0000
15141 1097 1078 风电1078 "2020-09-22 00:00:00" W2100-126 2.1000 90.0000
15142 1097 1078 风电1078 "2020-10-25 00:00:00" W2100-135 2.1000 90.0000
15143 1097 1078 风电1078 "2020-10-27 00:00:00" W2100-135 2.1000 90.0000
15144 1097 1078 风电1078 "2020-09-04 00:00:00" W2100-126 2.1000 90.0000
15145 1097 1078 风电1078 "2020-09-03 00:00:00" W2100-126 2.1000 90.0000
15146 1097 1078 风电1078 "2020-10-23 00:00:00" W2100-135 2.1000 90.0000
15147 1097 1078 风电1078 "2020-09-03 00:00:00" W2100-135 2.1000 90.0000
15148 1097 1078 风电1078 "2020-08-08 00:00:00" W2100-135 2.1000 90.0000
15149 1097 1078 风电1078 "2020-07-10 00:00:00" W2100-135 2.1000 90.0000
15150 1097 1078 风电1078 "2020-08-03 00:00:00" W2100-135 2.1000 90.0000
15151 1097 1078 风电1078 "2020-06-12 00:00:00" W2100-135 2.1000 90.0000
15152 1097 1078 风电1078 "2020-06-16 00:00:00" W2100-135 2.1000 90.0000
15153 1097 1078 风电1078 "2020-07-31 00:00:00" W2100-135 2.1000 90.0000
15154 1097 1078 风电1078 "2020-06-25 00:00:00" W2100-135 2.1000 90.0000
15155 1097 1078 风电1078 "2020-07-13 00:00:00" W2100-135 2.1000 90.0000
15156 1097 1078 风电1078 "2020-06-20 00:00:00" W2100-135 2.1000 90.0000
15157 1097 1078 风电1078 "2020-07-03 00:00:00" W2100-135 2.1000 90.0000
15158 1097 1078 风电1078 "2020-06-13 00:00:00" W2100-135 2.1000 90.0000
15159 1097 1078 风电1078 "2020-07-30 00:00:00" W2100-135 2.1000 90.0000
15160 1097 1078 风电1078 "2020-12-30 00:00:00" EN-141/3.2 3.2000 100.0000
15161 1097 1078 风电1078 "2020-12-30 00:00:00" EN-141/3.2 3.2000 100.0000
15162 1097 1078 风电1078 "2020-12-30 00:00:00" EN-141/3.2 3.2000 100.0000
15163 1097 1078 风电1078 "2021-01-22 00:00:00" EN-141/3.2 3.2000 100.0000
15164 1097 1078 风电1078 "2021-02-20 00:00:00" EN-141/3.2 3.2000 100.0000
15165 1097 1078 风电1078 "2021-02-16 00:00:00" EN-141/3.2 3.2000 100.0000
15166 1097 1078 风电1078 "2021-03-06 00:00:00" EN-141/2.65 2.6500 100.0000
15167 1097 1078 风电1078 "2021-03-07 00:00:00" EN-141/2.65 2.6500 100.0000
15168 1097 1078 风电1078 "2021-01-31 00:00:00" EN-141/2.65 2.6500 100.0000
15169 1097 1078 风电1078 "2021-02-04 00:00:00" EN-141/3.2 3.2000 100.0000
15170 1097 1078 风电1078 "2021-03-02 00:00:00" EN-141/2.65 2.6500 100.0000
15171 1097 1078 风电1078 "2021-03-02 00:00:00" EN-141/2.65 2.6500 100.0000
15172 1097 1078 风电1078 "2021-03-04 00:00:00" EN-141/3.2 3.2000 100.0000
15173 1097 1078 风电1078 "2021-03-07 00:00:00" EN-141/3.2 3.2000 100.0000
15174 1097 1078 风电1078 "2021-02-28 00:00:00" EN-141/2.65 2.6500 100.0000
15175 1097 1078 风电1078 "2021-03-06 00:00:00" EN-141/2.65 2.6500 100.0000
15176 1097 1078 风电1078 "2021-02-28 00:00:00" EN-141/2.65 2.6500 100.0000
