PlantID PlantName PlantType Datetime Perssure SeaPerssure PrecipitationHour GroundTemp Temp2 Humidity2 InstantSpeed10 InstantDirection10 PrecipitationDay Groundradiation Speed10 Direction10 Speed30 Direction30 Speed50 Direction50 Speed70 Direction70 Speed90 Direction90 Speed100 Direction100 HubSpeed HubDireciton
2356 光伏2356 1 "2022-05-02 08:00:00" 1006.2000 1017.7200 0.0000 16.3700 16.3700 0.0000 4.4636 177.6889 0.0000 0.0000 4.4636 177.6889 5.8901 180.3891 7.2240 181.9039 8.4110 182.9304 8.7228 184.1418 8.8701 184.7207 null null
2356 光伏2356 1 "2022-05-02 08:15:00" 1006.1700 1017.6000 0.0000 20.9300 17.3800 0.0000 5.0669 186.9146 0.0000 365.7100 5.1638 186.5607 6.2540 187.5341 7.2648 188.2305 8.1746 188.7248 8.3992 189.2492 8.4961 189.4845 null null
2356 光伏2356 1 "2022-05-02 08:30:00" 1006.2800 1017.7000 0.0000 21.7700 17.9600 0.0000 5.5599 191.4110 0.0000 416.7500 5.6326 190.9508 6.6268 191.2252 7.5623 191.5180 8.4254 191.7100 8.5942 191.8852 8.6689 191.9840 null null
2356 光伏2356 1 "2022-05-02 08:45:00" 1006.4000 1017.8000 0.0000 22.5800 18.3300 0.0000 5.8314 193.0830 0.0000 466.4200 5.8810 192.5711 6.8127 192.5471 7.6837 192.5531 8.4939 192.5800 8.6707 192.6578 8.7239 192.7140 null null
2356 光伏2356 1 "2022-05-02 09:00:00" 1006.7600 1018.1500 0.0000 23.3600 18.6300 60.7600 6.0377 195.0720 0.0000 514.2100 6.0880 194.6525 6.9779 194.3549 7.7975 194.1788 8.5761 194.0362 8.8331 194.0205 8.8841 194.0050 null null
2356 光伏2356 1 "2022-05-02 09:15:00" 1006.7900 1018.1700 0.0000 24.1800 18.9000 59.5900 6.0442 194.5650 0.0000 560.0000 6.0974 194.2414 6.9680 194.0362 7.7781 193.9112 8.5373 193.8246 8.8138 193.7840 8.8551 193.7852 null null
2356 光伏2356 1 "2022-05-02 09:30:00" 1006.9600 1018.3200 0.0000 25.0600 19.1900 58.4000 5.8581 191.0222 0.0000 603.4800 5.9230 190.7028 6.7468 190.6770 7.5196 190.6524 8.2334 190.7094 8.5393 190.7309 8.5903 190.7344 null null
2356 光伏2356 1 "2022-05-02 09:45:00" 1006.8200 1018.1600 0.0000 25.8000 19.4900 57.2500 5.9186 189.9239 0.0000 644.5800 5.9940 189.6038 6.8259 189.6141 7.6068 189.6109 8.3268 189.6094 8.6129 189.6920 8.6540 189.7127 null null
2356 光伏2356 1 "2022-05-02 10:00:00" 1006.8100 1018.1400 0.0000 26.4200 19.8700 55.7500 6.1700 191.7834 0.0000 683.0600 6.2444 191.4539 7.1210 191.4204 7.9251 191.3525 8.6801 191.3617 8.9762 191.3725 9.0292 191.4344 null null
2356 光伏2356 1 "2022-05-02 10:15:00" 1006.7200 1018.0400 0.0000 26.9500 20.2600 53.8600 6.4758 193.7573 0.0000 718.7500 6.5465 193.3357 7.4587 193.2537 8.3078 193.1497 9.1061 193.0748 9.3946 193.1043 9.4456 193.0946 null null
